quarter,CPIAUCSL
2018Q1,249.3216666666667
2018Q2,250.679
2018Q3,251.68633333333332
2018Q4,252.711
2019Q1,253.38566666666665
2019Q2,255.24733333333333
2019Q3,256.08933333333334
2019Q4,257.888
2020Q1,258.81766666666664
2020Q2,256.292
2020Q3,259.22166666666664
2020Q4,261.0916666666667
2021Q1,263.6863333333333
2021Q2,268.5796666666667
2021Q3,272.8863333333333
2021Q4,278.71933333333334
2022Q1,284.8446666666666
2022Q2,291.651
2022Q3,295.50766666666664
2022Q4,298.49833333333333
2023Q1,301.19166666666666
2023Q2,303.4243333333333
2023Q3,306.0423333333333
2023Q4,308.15833333333336
2024Q1,310.97433333333333
2024Q2,313.09566666666666
2024Q3,314.18266666666665
2024Q4,316.53866666666664
